(eps=0.060000000000000005, alpha=1.4e-06, tol=0.15000000000000002): Ein=1.9018776018146413, Eval=2.060773857304949
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.05): Ein=1.8942985840634803, Eval=2.05854667619423
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.060000000000000005): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.07): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.08): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.09000000000000001): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.1): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.11): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.12000000000000001): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.13): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.14): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.060000000000000005, alpha=1.5e-06, tol=0.15000000000000002): Ein=1.9018788874004662, Eval=2.0607742547818444
(eps=0.07, alpha=5e-07, tol=0.05): Ein=1.8943192968585003, Eval=2.0588899049476543
(eps=0.07, alpha=5e-07, tol=0.060000000000000005): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.07): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.08): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.09000000000000001): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.1): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.11): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.12000000000000001): Ein=1.9018929656997405, Eval=2.0611327615503505
(eps=0.07, alpha=5e-07, tol=0.13): Ein=1.9018929656997405, Eval=2.0611327615503505
